benchmark,environment,encryption,processes,run,class,size,iterations,time_seconds,total_processes,active_processes,mops_total,mops_per_process,operation_type,verification,source_file
CG,SGX,UNENC,4,4,C,150000,75,33.55,4,4,4272.86,1068.22,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-4processes-4.csv
CG,SGX,UNENC,4,5,C,150000,75,33.93,4,4,4225.03,1056.26,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-4processes-5.csv
CG,SGX,UNENC,8,1,C,150000,75,44.65,8,8,3210.62,401.33,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-8processes-1.csv
CG,SGX,UNENC,8,2,C,150000,75,45.01,8,8,3184.74,398.09,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-8processes-2.csv
CG,SGX,UNENC,8,3,C,150000,75,44.66,8,8,3209.81,401.23,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-8processes-3.csv
CG,SGX,UNENC,8,4,C,150000,75,45.00,8,8,3185.76,398.22,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-8processes-4.csv
CG,SGX,UNENC,8,5,C,150000,75,44.66,8,8,3209.86,401.23,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/CG-UNENC-8processes-5.csv
EP,Native,ENC,1,1,C,8589934592,0,62.98,1,1,136.40,136.40,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-enc-1processes-1.csv
EP,Native,ENC,2,1,C,8589934592,0,31.46,2,2,273.04,136.52,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-enc-2processes-1.csv
EP,Native,ENC,4,1,,,,,,,,,,,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-enc-4processes-1.csv
EP,Native,ENC,8,1,C,8589934592,0,8.91,8,8,964.55,120.57,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-enc-8processes-1.csv
EP,Native,UNENC,1,1,C,8589934592,0,62.86,1,1,136.66,136.66,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-unenc-1processes-1.csv
EP,Native,UNENC,2,1,C,8589934592,0,31.50,2,2,272.67,136.34,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-unenc-2processes-1.csv
EP,Native,UNENC,4,1,C,8589934592,0,15.75,4,4,545.55,136.39,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-unenc-4processes-1.csv
EP,Native,UNENC,8,1,C,8589934592,0,8.90,8,8,965.64,120.71,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/ep-unenc-8processes-1.csv
EP,SGX,ENC,1,1,C,8589934592,0,158.38,1,1,54.24,54.24,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-1processes-1.csv
EP,SGX,ENC,1,2,C,8589934592,0,158.36,1,1,54.24,54.24,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-1processes-2.csv
EP,SGX,ENC,1,3,C,8589934592,0,158.36,1,1,54.24,54.24,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-1processes-3.csv
EP,SGX,ENC,1,4,C,8589934592,0,158.35,1,1,54.25,54.25,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-1processes-4.csv
EP,SGX,ENC,1,5,C,8589934592,0,158.40,1,1,54.23,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-1processes-5.csv
EP,SGX,ENC,2,1,C,8589934592,0,79.20,2,2,108.46,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-2processes-1.csv
EP,SGX,ENC,2,2,C,8589934592,0,79.20,2,2,108.46,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-2processes-2.csv
EP,SGX,ENC,2,3,C,8589934592,0,79.22,2,2,108.43,54.21,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-2processes-3.csv
EP,SGX,ENC,2,4,C,8589934592,0,79.20,2,2,108.46,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-2processes-4.csv
EP,SGX,ENC,2,5,C,8589934592,0,79.19,2,2,108.47,54.24,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-2processes-5.csv
EP,SGX,ENC,4,1,C,8589934592,0,39.62,4,4,216.82,54.20,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-4processes-1.csv
EP,SGX,ENC,4,2,C,8589934592,0,39.61,4,4,216.87,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-4processes-2.csv
EP,SGX,ENC,4,3,C,8589934592,0,39.60,4,4,216.91,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-4processes-3.csv
EP,SGX,ENC,4,4,C,8589934592,0,39.60,4,4,216.92,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-4processes-4.csv
EP,SGX,ENC,4,5,C,8589934592,0,39.60,4,4,216.92,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-4processes-5.csv
EP,SGX,ENC,8,1,C,8589934592,0,22.40,8,8,383.47,47.93,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-8processes-1.csv
EP,SGX,ENC,8,2,C,8589934592,0,22.40,8,8,383.41,47.93,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-8processes-2.csv
EP,SGX,ENC,8,3,C,8589934592,0,22.41,8,8,383.33,47.92,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-8processes-3.csv
EP,SGX,ENC,8,4,C,8589934592,0,22.40,8,8,383.44,47.93,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-8processes-4.csv
EP,SGX,ENC,8,5,C,8589934592,0,22.41,8,8,383.34,47.92,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-ENC-8processes-5.csv
EP,SGX,UNENC,1,1,C,8589934592,0,158.41,1,1,54.23,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-1processes-1.csv
EP,SGX,UNENC,1,2,C,8589934592,0,158.42,1,1,54.22,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-1processes-2.csv
EP,SGX,UNENC,1,3,C,8589934592,0,158.42,1,1,54.22,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-1processes-3.csv
EP,SGX,UNENC,1,4,C,8589934592,0,158.41,1,1,54.23,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-1processes-4.csv
EP,SGX,UNENC,1,5,C,8589934592,0,158.40,1,1,54.23,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-1processes-5.csv
EP,SGX,UNENC,2,1,C,8589934592,0,79.21,2,2,108.45,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-2processes-1.csv
EP,SGX,UNENC,2,2,C,8589934592,0,79.21,2,2,108.45,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-2processes-2.csv
EP,SGX,UNENC,2,3,C,8589934592,0,79.21,2,2,108.45,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-2processes-3.csv
EP,SGX,UNENC,2,4,C,8589934592,0,79.20,2,2,108.46,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-2processes-4.csv
EP,SGX,UNENC,2,5,C,8589934592,0,79.22,2,2,108.44,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-2processes-5.csv
EP,SGX,UNENC,4,1,C,8589934592,0,39.60,4,4,216.91,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-4processes-1.csv
EP,SGX,UNENC,4,2,C,8589934592,0,39.61,4,4,216.87,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-4processes-2.csv
EP,SGX,UNENC,4,3,C,8589934592,0,39.60,4,4,216.92,54.23,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-4processes-3.csv
EP,SGX,UNENC,4,4,C,8589934592,0,39.61,4,4,216.87,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-4processes-4.csv
EP,SGX,UNENC,4,5,C,8589934592,0,39.61,4,4,216.89,54.22,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-4processes-5.csv
EP,SGX,UNENC,8,1,C,8589934592,0,22.41,8,8,383.38,47.92,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-8processes-1.csv
EP,SGX,UNENC,8,2,C,8589934592,0,22.41,8,8,383.38,47.92,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-8processes-2.csv
EP,SGX,UNENC,8,3,C,8589934592,0,22.40,8,8,383.42,47.93,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-8processes-3.csv
EP,SGX,UNENC,8,4,C,8589934592,0,22.40,8,8,383.46,47.93,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-8processes-4.csv
EP,SGX,UNENC,8,5,C,8589934592,0,22.40,8,8,383.48,47.94,Random numbers generated,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/EP-UNENC-8processes-5.csv
