These are breakdowns
rank is 3 host-name is poweredge-r650-7 wait time is 0.090231s
rank is 3 host-name is poweredge-r650-7 waitall time is 0.454422s
rank is 3 host-name is poweredge-r650-7 bcast time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoall time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoallv time is 0.000000s
rank is 3 host-name is poweredge-r650-7 reduce time is 0.000033s
rank is 3 host-name is poweredge-r650-7 allreduce time is 0.233192s
rank is 3 host-name is poweredge-r650-7 all comm time is 0.784153s

rank is 3 host-name is poweredge-r650-7 send enc time is 0.000014s
rank is 3 host-name is poweredge-r650-7 recv dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 isend enc time is 0.000014s
rank is 3 host-name is poweredge-r650-7 irecv dec time is 0.015300s
rank is 3 host-name is poweredge-r650-7 bcast enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 bcast dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoall enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoall dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 allgather enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 allgather dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoallv enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 alltoallv dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 reduce enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 reduce dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 allreduce enc time is 0.000000s
rank is 3 host-name is poweredge-r650-7 allreduce dec time is 0.000000s
rank is 3 host-name is poweredge-r650-7 all enc time is 0.045959s
rank is 3 host-name is poweredge-r650-7 all dec time is 0.015300s
rank is 3 host-name is poweredge-r650-7 key distribution time is 0.000000s
rank is 3 host-name is poweredge-r650-7 Init crypt time is 0.000000s

rank is 3 host-name is poweredge-r650-7 waitall avr time is 0.001525s
MY_HOSTNAME is poweredge-r650-6
These are breakdowns
rank is 1 host-name is poweredge-r650-6 send time is 0.000007s
rank is 1 host-name is poweredge-r650-6 recv time is 0.000000s
rank is 1 host-name is poweredge-r650-6 isend time is 0.004945s
rank is 1 host-name is poweredge-r650-6 irecv time is 0.000624s
rank is 1 host-name is poweredge-r650-6 wait time is 0.098282s
rank is 1 host-name is poweredge-r650-6 waitall time is 0.335903s
rank is 1 host-name is poweredge-r650-6 bcast time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoall time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoallv time is 0.000000s
rank is 1 host-name is poweredge-r650-6 reduce time is 0.000039s
rank is 1 host-name is poweredge-r650-6 allreduce time is 0.062418s
rank is 1 host-name is poweredge-r650-6 all comm time is 0.502218s

rank is 1 host-name is poweredge-r650-6 send enc time is 0.000026s
rank is 1 host-name is poweredge-r650-6 recv dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 isend enc time is 0.000026s
rank is 1 host-name is poweredge-r650-6 irecv dec time is 0.019798s
rank is 1 host-name is poweredge-r650-6 bcast enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 bcast dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoall enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoall dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 allgather enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 allgather dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoallv enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 alltoallv dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 reduce enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 reduce dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 allreduce enc time is 0.000000s
rank is 1 host-name is poweredge-r650-6 allreduce dec time is 0.000000s
rank is 1 host-name is poweredge-r650-6 all enc time is 0.038384s
rank is 1 host-name is poweredge-r650-6 all dec time is 0.019798s
rank is 1 host-name is poweredge-r650-6 key distribution time is 0.000000s
rank is 1 host-name is poweredge-r650-6 Init crypt time is 0.000000s

rank is 1 host-name is poweredge-r650-6 waitall avr time is 0.001127s
MY_HOSTNAME is poweredge-r650-6
These are breakdowns
rank is 0 host-name is poweredge-r650-6 send time is 0.000000s
rank is 0 host-name is poweredge-r650-6 recv time is 0.000045s
rank is 0 host-name is poweredge-r650-6 isend time is 0.003838s
rank is 0 host-name is poweredge-r650-6 irecv time is 0.000616s
rank is 0 host-name is poweredge-r650-6 wait time is 0.128148s
rank is 0 host-name is poweredge-r650-6 waitall time is 0.217842s
rank is 0 host-name is poweredge-r650-6 bcast time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoall time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoallv time is 0.000000s
rank is 0 host-name is poweredge-r650-6 reduce time is 0.000061s
rank is 0 host-name is poweredge-r650-6 allreduce time is 0.051682s
rank is 0 host-name is poweredge-r650-6 all comm time is 0.402231s

rank is 0 host-name is poweredge-r650-6 send enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 recv dec time is 0.000009s
rank is 0 host-name is poweredge-r650-6 isend enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 irecv dec time is 0.022332s
rank is 0 host-name is poweredge-r650-6 bcast enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 bcast dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoall enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoall dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 allgather enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 allgather dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoallv enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 alltoallv dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 reduce enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 reduce dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 allreduce enc time is 0.000000s
rank is 0 host-name is poweredge-r650-6 allreduce dec time is 0.000000s
rank is 0 host-name is poweredge-r650-6 all enc time is 0.027140s
rank is 0 host-name is poweredge-r650-6 all dec time is 0.022341s
rank is 0 host-name is poweredge-r650-6 key distribution time is 0.000000s
rank is 0 host-name is poweredge-r650-6 Init crypt time is 0.000000s

rank is 0 host-name is poweredge-r650-6 waitall avr time is 0.000731s
